p1,p2,s1,s2,x1,x2,z1,z2
152,144,0.217,0.162,118,85,70.48,66.32
149,145,0.238,0.124,80,82,66.64,71.01
142,143,0.209,0.12,85,118,61.24,64.28
148,150,0.165,0.139,106,108,73.3,66.06
165,139,0.193,0.16,84,108,72.65,68.23
141,149,0.176,0.129,78,110,63.84,67.33
159,153,0.25,0.11,109,94,71.64,71.79
139,149,0.192,0.151,119,73,66.32,62.13
140,160,0.17,0.141,96,106,60.96,73.43
144,140,0.17,0.12,105,90,66.44,72.6
163,156,0.173,0.156,119,117,73.64,70.61
148,136,0.13,0.191,80,102,68.03,60.64
156,140,0.295,0.114,115,70,67.09,66.36
151,141,0.264,0.104,114,81,69.25,61.76
152,151,0.209,0.093,88,84,74.48,69.91
160,142,0.211,0.16,96,93,67.96,70.19
143,140,0.174,0.168,80,72,66.86,60.57
158,137,0.213,0.153,114,116,66.28,68.1
158,143,0.18,0.141,88,112,74.09,73.67
163,153,0.21,0.105,70,112,74.64,74.33
159,132,0.216,0.13,88,82,67.08,63.21
150,142,0.237,0.132,89,74,69.44,69.41
146,132,0.166,0.148,103,70,68.01,62.86
158,133,0.234,0.163,98,116,68.15,63.59
142,154,0.179,0.125,91,91,66.02,74.54
150,155,0.156,0.095,97,91,62.48,72.58
146,137,0.219,0.15,78,89,62.33,68.51
159,141,0.252,0.148,95,77,67.99,71.74
153,156,0.211,0.147,94,118,68.61,68.94
158,150,0.191,0.116,118,107,65.91,66.11
153,143,0.165,0.141,76,117,72.21,65.55
150,135,0.149,0.168,72,82,74.97,61.45
145,134,0.175,0.094,115,74,63.9,62.09
138,148,0.169,0.186,92,114,66.26,67.46
148,143,0.216,0.103,110,116,68.94,70.92
160,144,0.217,0.134,103,103,67.87,61.33
151,146,0.196,0.146,85,82,67.98,67.19
143,144,0.179,0.147,105,78,63.58,66.17
149,147,0.239,0.116,97,74,71.44,70.94
139,139,0.166,0.122,103,87,67.22,68.34
151,142,0.147,0.155,112,119,70.17,73.14
157,137,0.155,0.124,86,95,71.92,61.77
149,148,0.17,0.108,103,116,70.17,71.4
143,155,0.206,0.139,72,94,68.16,72.51
146,145,0.19,0.18,112,106,70.63,67.47
160,141,0.23,0.136,112,85,68.74,69.97
148,142,0.179,0.169,99,83,61.05,65.08
155,143,0.279,0.111,91,84,62.54,70.72
150,153,0.151,0.128,85,98,69,74.81
154,151,0.337,0.093,116,106,63.35,71.15
149,151,0.16,0.124,90,112,68.15,69.03
166,143,0.226,0.129,109,75,74.15,72.74
143,154,0.202,0.129,103,112,61.75,72.85
144,145,0.17,0.186,82,88,69.08,67.99
154,143,0.267,0.1,114,111,69.17,60.93
160,144,0.207,0.175,104,116,68.4,67.83
152,150,0.225,0.119,114,112,63.04,69.92
145,135,0.135,0.148,99,88,74.13,63.23
144,135,0.21,0.127,113,118,62.53,67.5
133,152,0.18,0.137,80,92,60.16,69.02
146,139,0.132,0.213,78,116,68.1,63.87
153,137,0.191,0.141,117,103,72.56,63.49
157,144,0.164,0.167,117,80,69.56,62.86
160,149,0.199,0.108,72,94,74.22,68
145,148,0.175,0.11,72,102,62.54,73.81
149,154,0.21,0.109,103,72,67.99,71.71
150,152,0.166,0.141,82,110,71.27,68.22
152,155,0.128,0.103,74,75,66.26,72.95
142,145,0.218,0.109,98,114,61.49,74.45
153,147,0.218,0.093,107,78,69.2,70.96
154,145,0.189,0.134,84,100,64.49,73.96
149,143,0.225,0.102,110,71,66.95,73.23
157,146,0.212,0.109,99,118,66.47,69.64
140,161,0.219,0.156,108,85,65,73.74
147,147,0.207,0.133,105,81,60.44,65.35
142,145,0.133,0.2,94,107,70.22,70.45
151,139,0.198,0.128,103,74,60.28,68.43
143,146,0.193,0.162,71,98,70.65,65.77
148,149,0.158,0.225,81,91,64.94,65.87
162,138,0.215,0.156,80,72,72.26,63.41
137,139,0.147,0.203,95,93,64.72,61.32
147,137,0.158,0.167,86,98,72.55,61.75
163,150,0.195,0.159,116,85,74.53,71.26
148,147,0.171,0.084,78,80,62.94,65
151,152,0.16,0.139,106,71,70.22,68.97
144,150,0.231,0.146,113,85,61.37,63.86
136,137,0.193,0.116,87,101,61.27,60.04
144,144,0.173,0.125,93,76,66.1,60.59
154,150,0.152,0.133,79,104,74.61,69.63
148,143,0.137,0.097,92,117,70.84,69.94
141,149,0.187,0.166,75,89,60.89,74.78
152,154,0.159,0.127,102,98,64.48,71.45
141,150,0.213,0.138,109,114,65.7,65.84
155,157,0.138,0.151,77,119,72.97,72.7
142,149,0.183,0.135,79,95,68.93,73.14
137,150,0.168,0.202,108,104,66.1,65.69
150,156,0.232,0.125,115,109,71.46,74.61
148,134,0.267,0.098,115,87,64.02,66.4
145,153,0.167,0.123,103,86,71.26,73.29
138,153,0.176,0.124,91,110,65.42,74.45
156,139,0.201,0.13,119,101,66.39,66.62
154,151,0.185,0.121,117,105,69.23,69.63
133,135,0.197,0.166,79,81,60.59,60.1
155,133,0.215,0.135,81,101,68.82,63.19
161,136,0.166,0.146,113,102,73.6,66.35
155,159,0.176,0.136,70,112,72.44,72.54
155,157,0.232,0.106,111,94,72.16,74.93
139,137,0.186,0.105,88,80,62.04,61.59
136,151,0.146,0.232,77,117,64.5,64.89
146,148,0.223,0.108,97,96,68.51,64.67
160,155,0.183,0.141,83,87,74.35,73.34
145,145,0.22,0.152,118,78,62.28,63.06
156,147,0.15,0.135,89,95,72.3,68.78
147,146,0.184,0.123,114,94,62.01,66.07
156,146,0.196,0.116,89,79,65.21,63.57
146,148,0.181,0.145,71,86,67.09,60.96
160,159,0.145,0.183,86,81,74.42,70.66
161,144,0.175,0.179,90,119,71.95,63.57
142,147,0.195,0.231,88,116,62.54,63.43
143,144,0.17,0.143,81,109,61.26,68.65
155,139,0.173,0.142,81,119,67.09,60.18
144,148,0.239,0.092,75,82,62.4,69.04
148,151,0.239,0.097,110,91,65.49,74.16
149,134,0.131,0.172,85,107,64.32,60.17
153,150,0.253,0.093,84,73,68.55,70.42
152,143,0.184,0.174,71,104,68.47,71.37
142,143,0.224,0.142,114,104,66.09,60.22
161,152,0.182,0.099,92,100,70.3,69.93
137,133,0.149,0.174,111,102,60.81,61.53
147,146,0.215,0.158,71,119,65.72,64.68
146,143,0.227,0.115,85,96,67.75,69.03
139,148,0.186,0.197,105,118,66.16,69.73
155,140,0.221,0.151,119,70,72.33,71.6
134,143,0.162,0.111,73,87,60.55,73.62
153,145,0.21,0.125,118,79,68.76,61.84
142,142,0.098,0.233,87,111,61.54,62.4
136,144,0.179,0.119,104,95,62.83,61.8
132,136,0.139,0.153,95,106,65.04,67.37
156,136,0.14,0.139,77,108,73.57,65.84
143,146,0.156,0.121,72,75,62.57,73.63
147,151,0.178,0.152,87,112,67.7,68.78
157,145,0.203,0.182,90,113,71.18,63.08
158,137,0.216,0.171,88,86,70.27,60.15
150,144,0.147,0.135,85,90,74.99,73.76
141,136,0.18,0.123,76,86,68.98,67.21
145,150,0.201,0.117,116,119,66.84,69.5
146,155,0.146,0.096,93,116,62.71,71.88
158,145,0.138,0.107,86,113,72.4,71.06
139,143,0.197,0.205,95,84,60.53,61.6
153,143,0.19,0.165,111,91,68.53,72.34
145,152,0.131,0.129,106,72,74.55,71.08
149,132,0.197,0.173,115,92,60.2,61.47
136,138,0.172,0.188,106,93,63.41,62.95
151,150,0.235,0.123,93,98,72.62,73.75
148,146,0.203,0.144,103,105,73.58,73.01
143,149,0.209,0.15,99,79,69.09,72.23
140,149,0.142,0.137,113,81,63.46,67.06
159,142,0.143,0.153,118,89,72.72,60.68
144,156,0.184,0.129,107,83,66.53,74.41
145,147,0.202,0.174,94,110,66.17,65.91
155,133,0.208,0.128,81,87,66.81,66.81
153,148,0.174,0.145,94,95,68.91,63.76
140,142,0.199,0.12,74,80,62.7,64.53
159,159,0.186,0.135,77,96,73.64,73.56
151,139,0.225,0.115,113,72,66.19,73.21
147,146,0.14,0.153,73,87,65.37,68.9
151,148,0.158,0.135,75,85,74.17,71.62
140,140,0.171,0.148,118,118,64.07,61.28
134,152,0.194,0.187,86,117,61.32,73.85
148,141,0.204,0.115,93,97,69.22,66.11
144,149,0.182,0.197,78,114,61.79,62.02
145,143,0.22,0.132,113,95,62.35,68.21
155,160,0.145,0.164,100,102,69.19,74.96
157,153,0.183,0.175,117,117,68.05,70.41
152,148,0.186,0.163,76,88,73.35,67.07
144,146,0.181,0.183,111,93,60,73.24
166,152,0.228,0.089,91,76,74.35,74.62
148,149,0.151,0.126,103,71,74.16,67.07
149,155,0.166,0.151,79,80,74.07,73.92
141,135,0.166,0.176,75,79,65.4,60.37
149,135,0.18,0.129,73,96,69.4,67.77
157,147,0.241,0.129,105,92,64.03,69.7
149,155,0.154,0.138,74,101,70.8,69.33
138,150,0.163,0.132,113,98,62.39,74.3
142,141,0.14,0.144,103,83,71.26,66.29
153,152,0.171,0.147,79,95,67.02,71.15
136,144,0.154,0.118,86,119,64,62.03
145,146,0.178,0.128,70,95,61.21,74.38
141,154,0.23,0.118,118,85,61.91,74.37
147,146,0.104,0.137,92,111,69.3,64.57
152,146,0.233,0.173,101,106,68.77,69.3
138,145,0.172,0.142,93,83,67.52,73.26
146,147,0.218,0.137,83,109,60.62,73.91
153,146,0.162,0.156,90,107,71.86,73.25
141,151,0.175,0.145,80,93,69.6,63.46
157,141,0.141,0.137,82,102,74,66.23
135,137,0.136,0.163,73,92,66.93,62.67
153,142,0.176,0.134,70,107,74.51,71.33
136,139,0.18,0.135,81,86,60.5,61.1
151,145,0.175,0.128,82,70,64,60.71
157,145,0.166,0.108,81,85,72.82,69.32
156,152,0.196,0.132,101,112,70.95,72.83
153,151,0.206,0.203,118,117,63.68,60.8
152,153,0.255,0.114,87,99,70.32,72.55
148,140,0.25,0.1,117,106,64.13,67.74
157,148,0.177,0.172,101,110,69.54,63.6
141,147,0.199,0.107,85,96,61.09,64.33
153,149,0.189,0.139,77,105,74.16,62.47
150,136,0.186,0.17,94,86,68.64,64.04
145,137,0.196,0.22,111,86,64.66,60.81
156,140,0.165,0.154,86,78,74.38,64.64
155,157,0.166,0.171,93,114,68.92,69.43
151,149,0.124,0.233,98,103,73.55,60.64
147,140,0.187,0.125,110,76,72.81,69.69
149,144,0.168,0.167,104,83,61.84,67.37
152,146,0.145,0.177,77,96,66.67,73.26
150,143,0.316,0.116,100,102,61.36,70.21
156,141,0.193,0.108,84,109,65.2,68.21
140,150,0.193,0.089,72,91,64.76,72.78
152,139,0.168,0.126,101,88,74.99,70.14
140,140,0.162,0.106,78,76,66.04,69.8
146,139,0.142,0.166,106,102,60.11,68.66
148,134,0.185,0.158,92,96,71.86,62.05
152,136,0.16,0.173,117,75,71.63,62.98
146,147,0.207,0.108,100,70,61.91,62.92
153,144,0.227,0.126,116,110,64.26,63.72
162,151,0.286,0.097,99,91,71.47,70.85
160,150,0.247,0.112,79,118,74.47,74.29
143,143,0.145,0.143,75,100,66.75,74.17
145,142,0.194,0.129,110,71,64.65,72.43
157,143,0.135,0.164,104,116,72.33,68.38
148,138,0.163,0.146,109,81,70.2,69.33
146,137,0.203,0.137,92,104,67.44,61.96
156,140,0.152,0.172,77,111,73.15,66.65
148,135,0.247,0.14,112,90,62.54,66.24
150,139,0.196,0.142,70,92,65.37,67.31
143,144,0.173,0.137,72,83,66.97,67.6
148,136,0.164,0.16,86,92,61.94,66.26
150,143,0.256,0.141,108,105,69.24,65.48
147,150,0.182,0.132,105,106,61.47,72.34
142,139,0.211,0.101,100,93,61.09,65.07
148,148,0.158,0.094,77,101,64.93,73.46
156,148,0.177,0.122,82,110,69.91,74.44
151,134,0.175,0.145,90,97,63.7,63.69
147,151,0.242,0.133,113,90,60.43,72.62
156,145,0.179,0.125,100,110,69.14,63.25
148,136,0.171,0.146,117,119,74.46,67.37
153,138,0.244,0.164,105,105,63.3,68.31
154,144,0.209,0.161,115,78,66.34,68.96
151,152,0.137,0.144,91,86,71.49,74.93
147,150,0.192,0.109,119,87,62.67,73.19
144,151,0.168,0.11,91,72,67.8,71.14
159,131,0.196,0.094,113,80,66.89,60.53
156,161,0.195,0.147,102,100,64.4,73.89
143,153,0.221,0.139,100,113,65.39,73.47
157,146,0.184,0.176,71,82,69.47,70.32
149,138,0.245,0.105,86,76,67.62,62.94
151,141,0.228,0.137,115,94,66.64,68.83
146,152,0.141,0.166,99,93,64.8,67.29
142,149,0.117,0.161,79,100,63.89,74.9
134,144,0.166,0.194,92,110,60.05,69.1
136,142,0.173,0.155,83,91,63.43,61.11
159,137,0.183,0.1,80,114,72.4,68.44
161,142,0.237,0.113,118,91,73.92,69.67
153,144,0.225,0.182,117,91,61.37,71.95
142,146,0.169,0.14,112,101,63.78,64.08
145,141,0.168,0.113,110,79,60.69,68.34
153,156,0.256,0.091,116,93,70.86,74.39
144,133,0.169,0.167,72,119,61.8,62.8
144,145,0.216,0.137,98,103,65.76,64.86
154,133,0.125,0.106,78,75,69.17,61.93
153,145,0.218,0.153,117,70,70.55,60.41
154,143,0.277,0.086,115,97,68.52,63.98
154,140,0.189,0.11,92,94,74.6,60.06
151,151,0.213,0.164,115,96,72.65,68.85
140,134,0.183,0.135,79,109,60.63,67.16
156,136,0.192,0.155,101,96,66.94,61.97
146,144,0.175,0.145,99,83,61.01,69.09
159,158,0.193,0.148,118,110,67.9,73.17
152,138,0.164,0.201,87,101,66.93,62.69
146,137,0.156,0.121,79,109,69.66,62.58
142,139,0.182,0.152,114,77,68.22,67.47
145,135,0.1,0.18,81,93,71.69,63.25
150,143,0.207,0.104,83,106,71.04,63
157,157,0.194,0.14,108,94,72.38,69.69
147,150,0.196,0.169,74,90,71.13,63.53
140,159,0.198,0.173,79,104,65.22,73.04
141,141,0.18,0.156,90,89,70.28,70.04
143,135,0.224,0.143,99,84,63.71,61.44
142,143,0.241,0.142,92,98,60.31,67.08
153,155,0.199,0.13,119,115,63.31,74.32
141,136,0.231,0.162,110,88,62.09,66.33
144,132,0.199,0.149,72,110,70.48,60.64
137,137,0.186,0.122,112,71,64.73,69.71
152,148,0.191,0.167,77,94,74.72,61
162,135,0.187,0.108,89,110,73.72,62.29
149,157,0.199,0.172,99,119,73.04,70.38
135,145,0.175,0.15,91,89,62.73,72.6
148,139,0.152,0.165,86,88,63.27,66.69
146,149,0.178,0.201,113,106,69.56,65.35
150,134,0.208,0.139,96,73,74.8,66.38
146,149,0.17,0.123,82,85,62.03,73.91
138,146,0.167,0.162,75,81,62.31,68.29
149,157,0.165,0.14,78,78,74.93,72.86
151,129,0.18,0.115,83,103,69.96,64.24
146,154,0.188,0.161,102,87,71.35,71.49
151,156,0.164,0.137,73,74,63.18,74.71
153,139,0.193,0.162,107,118,72.96,63.79
149,145,0.195,0.116,115,85,62.89,65.57
150,138,0.173,0.112,119,70,67.29,68.1
164,132,0.219,0.12,88,111,69.83,62.93
144,140,0.158,0.127,110,87,63.48,70.25
142,145,0.161,0.121,73,104,67.26,67.3
155,150,0.191,0.138,87,114,71.04,71
156,150,0.256,0.118,101,94,71.63,66.34
150,147,0.243,0.159,111,103,62.85,62.56
148,146,0.16,0.097,98,82,64.89,70.23
150,140,0.245,0.127,99,88,61.44,63.37
139,148,0.21,0.085,99,106,61.94,68.87
148,132,0.163,0.116,83,82,70.28,67.36
162,153,0.232,0.091,117,89,70.87,72.5
158,133,0.203,0.125,115,108,69.63,67.56
143,151,0.266,0.144,119,98,61.51,64.56
156,150,0.184,0.088,117,71,65.69,67.67
151,137,0.177,0.113,89,71,64.78,71.25
155,146,0.145,0.195,92,83,74.27,60.55
158,148,0.173,0.13,114,99,70.09,71.71
153,139,0.205,0.15,109,80,74.4,62.52
154,142,0.192,0.09,87,97,71.28,73.5
148,147,0.163,0.194,92,72,67.26,61.07
142,144,0.222,0.134,83,108,62.67,69.4
160,134,0.215,0.163,109,100,71.83,64.56
149,144,0.17,0.136,84,77,64.93,66.63
159,142,0.196,0.111,116,84,70.73,60.31
149,139,0.17,0.167,87,106,63.85,65.82
151,146,0.245,0.129,107,109,70.56,72.17
144,136,0.117,0.124,70,88,66.68,64.15
142,147,0.145,0.176,78,119,61.94,60.13
161,133,0.185,0.107,83,97,72.03,63.51
150,140,0.185,0.129,88,96,61.29,66.49
146,149,0.171,0.227,95,116,61.12,61.64
143,149,0.204,0.105,77,86,66.55,74.73
156,135,0.223,0.158,97,83,68.23,64.18
149,138,0.194,0.145,111,92,70.29,63.42
150,143,0.183,0.176,107,70,72.13,67.24
147,154,0.207,0.151,98,119,69.57,73.23
151,152,0.202,0.176,109,95,61.7,63.03
154,145,0.217,0.101,73,74,69.7,61.07
151,137,0.226,0.162,73,86,60.84,61.04
144,144,0.165,0.125,109,115,65.37,63.41
138,134,0.178,0.154,88,99,67.29,60.98
151,151,0.159,0.099,118,72,72.78,70.73
144,141,0.207,0.135,102,90,63.58,73.32
150,148,0.159,0.155,101,113,68.27,70.23
158,147,0.183,0.129,118,82,68.98,65.54
148,144,0.223,0.147,116,84,71.37,73.43
148,144,0.201,0.101,86,93,63.86,68.01
149,142,0.167,0.14,100,88,67.3,71.1
140,143,0.223,0.14,88,82,61.56,61.68
147,153,0.273,0.114,96,97,65.44,70.35
159,138,0.197,0.069,91,83,72.68,68.72
142,147,0.225,0.097,119,108,65.82,70.77
150,143,0.154,0.122,89,72,71.95,69.38
157,142,0.222,0.08,108,105,65.19,70.36
140,137,0.126,0.162,113,74,64.49,65.97
157,135,0.196,0.185,106,110,68.63,63.15
153,141,0.178,0.125,89,97,71.86,61.98
153,129,0.161,0.141,90,71,72.42,61.68
145,133,0.157,0.114,82,96,60.97,62.93
151,158,0.201,0.155,83,115,67.47,73.82
145,141,0.221,0.155,79,111,62.17,62.32
152,134,0.147,0.134,71,105,67.37,62.75
154,146,0.266,0.096,106,99,60.39,74.99
157,140,0.21,0.158,73,77,70.3,65.5
163,152,0.208,0.125,116,94,72.22,74.07
146,152,0.195,0.135,89,82,65.4,69.45
157,142,0.15,0.215,94,107,73.62,64.57
134,145,0.158,0.159,102,84,61.49,73.68
142,156,0.182,0.101,112,109,64.3,72.19
160,148,0.168,0.177,89,84,70.94,68.79
143,155,0.128,0.119,80,76,66.29,70.66
145,137,0.177,0.191,105,110,63.62,63.73
144,150,0.173,0.134,89,116,72.38,73.44
140,134,0.173,0.125,71,100,65.31,68.67
144,153,0.188,0.143,76,102,68.57,70.52
147,147,0.24,0.113,71,88,65.6,65.65
145,138,0.214,0.123,82,117,65.22,68.69
143,138,0.179,0.151,112,74,70.17,69.28
153,140,0.267,0.082,94,72,64.06,66.43
150,148,0.174,0.164,78,110,62.48,70.1
154,141,0.186,0.148,112,111,74.41,66.36
144,145,0.19,0.117,72,96,63.72,67.12
142,145,0.192,0.156,96,71,65.61,63.51
144,137,0.207,0.134,92,92,70.73,65.4
155,135,0.171,0.165,112,105,74.23,65.46
143,143,0.13,0.16,106,80,72.58,66.64
149,137,0.25,0.136,77,80,66.75,70.42
161,145,0.19,0.119,90,101,73.37,68.7
140,146,0.174,0.135,77,89,63.15,72.58
157,138,0.21,0.108,114,102,64.25,73.09
143,137,0.175,0.135,100,71,71.43,67.36
146,143,0.156,0.144,72,94,66.19,65.72
151,148,0.204,0.115,70,83,61.33,63.73
152,147,0.135,0.173,70,107,68.55,62.48
145,131,0.17,0.134,115,119,73.17,61.23
147,147,0.169,0.155,87,70,62.46,68.91
146,152,0.134,0.168,91,108,72.58,61.87
155,137,0.235,0.108,109,85,70.41,61.4
152,148,0.147,0.144,74,93,71.77,67.83
156,154,0.153,0.185,108,93,70.26,65.14
151,149,0.204,0.104,100,91,60.73,74.91
152,147,0.266,0.152,86,97,71.06,66.88
145,142,0.177,0.159,74,119,65.38,61.03
153,146,0.182,0.157,77,85,62.95,65.62
153,149,0.209,0.166,77,105,66.48,65.65
155,146,0.23,0.107,84,92,69.76,65.12
141,148,0.188,0.188,101,90,62.33,74.9
151,135,0.168,0.164,104,112,72.67,63.04
165,145,0.304,0.09,117,88,60.91,66.47
152,144,0.262,0.075,78,112,62.89,67.24
142,141,0.158,0.19,96,111,64.35,61.69
132,142,0.173,0.152,84,99,61.5,60.49
147,149,0.221,0.103,103,82,68.56,73.77
153,142,0.169,0.147,82,91,66.34,73.99
147,145,0.132,0.175,96,107,68.77,70.49
148,143,0.215,0.176,112,108,62.02,63.2
141,138,0.173,0.195,87,95,67.66,62.18
146,146,0.205,0.086,87,92,70.26,72.98
139,143,0.19,0.144,70,96,60.73,65.12
147,148,0.212,0.106,96,75,71.86,74.79
159,157,0.276,0.107,91,78,71.29,73.46
154,137,0.194,0.188,82,91,70.78,60.34
142,136,0.202,0.133,77,116,64.76,61.21
152,155,0.242,0.106,114,86,65.52,73.17
158,142,0.247,0.129,119,78,60.51,66.43
158,136,0.297,0.127,117,92,61.13,61.65
151,143,0.19,0.147,82,107,67.52,65.55
152,134,0.157,0.147,118,93,67.14,65.62
150,149,0.15,0.151,87,100,71.29,60.83
139,135,0.168,0.159,102,91,67.32,65.59
150,144,0.256,0.165,115,106,67.16,65.23
146,151,0.186,0.106,74,78,60.61,69.17
143,146,0.23,0.099,97,91,61.18,65.79
142,137,0.157,0.125,84,107,63.58,62.9
152,141,0.205,0.196,118,116,67,61.18
152,139,0.159,0.138,96,73,70.79,63.41
154,148,0.233,0.091,111,98,64.4,71.77
150,146,0.219,0.165,85,77,74.21,61.28
165,134,0.186,0.126,118,112,74.29,65.8
148,142,0.187,0.132,104,90,61.69,74.19
142,136,0.211,0.104,108,73,65.29,65.76
